*Subject
5
*Layout
4
*Condition
False,False,True
*Marks
150.9537,0,264.4731
223.3878,0,211.0567
254.2268,0,252.8753
*Path
x,y,z,flag
420.2791,2.406886,336.5009,359.979,58.55483,0.6599272,-1
420.2801,2.406715,336.5014,0.7200899,57.05564,0.3540793,-1
420.2813,2.407808,336.5023,359.3743,54.35504,2.312825,-1
420.2883,2.407054,336.5091,359.267,36.8298,0.9610219,-1
420.2946,2.407258,336.5264,356.3711,3.30235,1.329934,-1
420.2947,2.407309,336.5279,356.1406,0.5182609,1.420843,-1
420.2945,2.407804,336.5249,355.6979,5.837963,2.312003,-1
420.2938,2.406664,336.5207,355.4224,13.66383,0.2633579,-1
420.2928,2.406227,336.5174,355.6576,19.89207,359.4797,-1
420.2913,2.404027,336.5142,354.2293,26.61428,355.515,-1
420.2891,2.402059,336.5108,355.8839,33.93683,351.9715,-1
420.2883,2.407533,336.5092,356.6508,36.59798,1.822964,-1
420.2872,2.407969,336.5077,357.5362,39.93928,2.604036,-1
420.2856,2.407114,336.506,358.2448,44.03894,1.068474,-1
420.2849,2.408057,336.5053,357.4374,45.81939,2.76102,-1
420.2845,2.407942,336.5049,358.0639,46.80305,2.553467,-1
420.2841,2.407944,336.5045,356.4446,47.70799,2.560699,-1
420.2838,2.407858,336.5042,357.1399,48.62526,2.405702,-1
420.2834,2.408494,336.504,357.8737,49.23855,3.545427,-1
420.2835,2.40858,336.504,358.5009,49.2299,3.696986,-1
420.2835,2.408602,336.504,358.589,49.25294,3.737221,-1
420.2831,2.408287,336.5037,358.5527,50.05066,3.172158,-1
420.283,2.40979,336.5038,359.6433,50.28756,5.869939,-1
420.2851,2.408998,336.5056,0.5763993,45.41721,4.446774,-1
150.9768,2.408307,264.4509,0.4307714,43.7976,3.206441,-1
150.9774,2.407839,264.4515,0.4862124,42.26028,2.367117,-1
150.9854,2.406497,264.4685,358.4567,8.097486,359.9638,-1
150.9831,2.407029,264.4857,357.6523,336.5854,0.9175673,-1
150.9797,2.407146,264.4918,357.1646,324.1209,1.126586,-1
150.9811,2.407142,264.4896,357.5556,328.9012,1.120977,-1
150.9843,2.40718,264.4637,358.9645,16.98479,1.187409,-1
150.9734,2.407293,264.4478,2.460013,52.05067,1.390246,-1
